ox_voltage,ox_current,red_voltage,red_current,peak_separation,scan_rate,file_path,success,device,concentration_str,concentration
0.010308012,-260.976,0.27051,248.842,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_02.csv,True,Palmsens,10mM,10.0
0.010308012,-261.45,0.27051,249.222,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_03.csv,True,Palmsens,10mM,10.0
0.010308012,-261.64,0.27051,249.032,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_04.csv,True,Palmsens,10mM,10.0
0.010308012,-262.019,0.27051,249.411,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_05.csv,True,Palmsens,10mM,10.0
0.010308012,-262.493,0.27051,249.696,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_06.csv,True,Palmsens,10mM,10.0
0.010308012,-262.304,0.27051,249.696,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_07.csv,True,Palmsens,10mM,10.0
0.010308012,-262.588,0.27051,249.885,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_08.csv,True,Palmsens,10mM,10.0
0.010308012,-262.683,0.27051,250.264,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_09.csv,True,Palmsens,10mM,10.0
0.010308012,-263.157,0.27051,250.833,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_10.csv,True,Palmsens,10mM,10.0
0.010308012,-264.2,0.27051,251.686,0.260201988,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E1_scan_11.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.585,0.290525,216.409,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_02.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.538,0.290525,216.597,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_03.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.501,0.290525,216.729,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_04.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.369,0.290525,216.503,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_05.csv,True,Palmsens,10mM,10.0
-0.039730884,-229.918,0.290525,216.559,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_06.csv,True,Palmsens,10mM,10.0
-0.039730884,-229.721,0.290525,216.381,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_07.csv,True,Palmsens,10mM,10.0
-0.039730884,-229.815,0.290525,216.212,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_08.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.256,0.290525,216.268,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_09.csv,True,Palmsens,10mM,10.0
-0.039730884,-230.726,0.290525,216.616,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_10.csv,True,Palmsens,10mM,10.0
-0.039730884,-231.412,0.290525,217.039,0.330255884,100,Test_data/Palmsens/Palmsens_10mM/Palmsens_10mM_CV_100mVpS_E2_scan_11.csv,True,Palmsens,10mM,10.0
